path,az_sentence,sentence
common_voice_az_35249785.mp3,Onun birinci kitabına astronomik və fiziki müşahidələrə dair məlumatlar var idi.,اوْنون بیرینجی کیتابینا آسترونومیک و فیزیکی مۆشاهیده‌لره دایر معلوماتلار وار ایدی.
common_voice_az_35249788.mp3,Rəngi sarıdır.,رنگی ساریدیر.
common_voice_az_35249790.mp3,Kəndin tam orta məktəbi vardır.,کندین تام اوْرتا مکتبی واردیر.
common_voice_az_35249798.mp3,Kəpənəyi iyul və avqustda uçur.,کپه‌نه‌‌یی ایۇل و آوقوستدا اۇچور.
common_voice_az_35249799.mp3,Ətrafı meşə ilə örtülüdür.,اطرافی مئشه ایله اؤرتولودور.
common_voice_az_35249800.mp3,Hollandiya və Danimarkanın gənclərdən ibarət komandalarının yoldaşlıq görüşündə hər iki futbolçu sonradan meydana çıxdılar.,هوْللاندی‌یا و دانیمارکانین گنجلردن عیبارت کوْماندالاری‌نین یوْلداشلیق گؤروشونده هر ایکی فۇتبولچو سوْنرادان مئیدانا چؽخدیلار.
common_voice_az_35249801.mp3,Ömər bu təklifi rədd edir.,عۆمَر بو تکلیفی رد ائدیر.
common_voice_az_35249812.mp3,Bunların çox hissəsi hətta Ginnesin rekordlar kitabına daxil edilmişdir.,بۇنلارین چوخ حیصّه‌سی حتی گیننئسین رئکوردلار کیتابینا داخیل ائدیلمیشدیر.
common_voice_az_35249813.mp3,Mədəniyyət öz təbiətinə görə tarixi mahiyyət kəsb edir.,مدنیت اؤز طبیعتینه گؤره تاریخی ماهیت کسب ائدیر.
common_voice_az_35249814.mp3,Korinf kanalı vasitəsilə İon dənizinin Korinf körfəzi ilə birləşir.,کوْرینف کانالی واسیطه‌سیله ایوْن دنیزی‌نین کوْرینف کؤرفزی ایله بیرلشیر.
common_voice_az_35249816.mp3,Burada ilkin şeirlərini və avtobioqrafik əsərini qələmə almış və onları mətbuatda çap etdirmişdir.,بۇرادا ایلکین شعرلرینی و آوتوبیوقرافیک اثرینی قلمه آلمیش و اوْنلاری مطبوعاتدا چاپ ائتدیرمیشدیر.
common_voice_az_35249818.mp3,Ticarətlə məşğul olmuşdu.,تیجارتله مشغول اوْلموشدو.
common_voice_az_35249819.mp3,Meyvəçilik də geniş yayılmışdır.,مئیوه‌چیلیک ده گئنیش یاییلمیشدیر.
common_voice_az_35249820.mp3,Aralarında böyük bir dostluq başladı.,آرالاریندا بؤیوک بیر دوْستلوق باشلادی.
common_voice_az_35249821.mp3,Rayonda quraq iqlim hakimdir.,رایوندا قۇراق ایقلیم حاکیمدیر.
common_voice_az_35249837.mp3,"Qrupun adı azərbaycanca ""Dənizin uşaqları"" mənasına gəlir.","قروپون آدی آذربایجانجا ""دنیزین اۇشاقلاری"" معناسینا گلیر."
common_voice_az_35249838.mp3,Kənddə Borsunlu kənd məscidi dini icması fəaliyyət göstərir.,کندده بوْرسونلو کند مسجیدی دینی ایجماعسی فعّالیّت گؤستریر.
common_voice_az_35249839.mp3,Bölgəni sonradan Krım xanlığı idarə edir.,بؤلگه‌نی سوْنرادان کریم خانلیغی ایداره ائدیر.
common_voice_az_35249840.mp3,Partiya lideri vəzifəsi ilə Vilson da müxalifət lideri oldu.,پارتی‌یا لیدئری وظیفه‌سی ایله ویلسون دا مۆخالیفت لیدئری اوْلدو.
common_voice_az_35249853.mp3,İnsan cəmiyyətinin fəaliyyəti min illər ərzində təbii surətdə iqlimin dəyişməsinə gətirib çıxarmışdır.,اینسان جمعیتی‌نین فعّالیّتی  ایللر عرضینده طبیعی صۇرتده ایقلیمین دییشمه‌سینه گتیریب چؽخارمیشدیر.
common_voice_az_35249855.mp3,Personaj Fransa Müqavimət Hərəkatında iştirak edən dan ilhamlanaraq yaradılmışdır.,پئرسوناژ فرانسا مۆقاویمت حرکاتیندا ایشتیراک ائدن دان ایلهاملاناراق یارادیلمیشدیر.
common_voice_az_35249857.mp3,Yer üzündə pislik çıxarmaq istədiyi zaman bu ruhları göndərir.,یئر اۆزونده پیسلیک چؽخارماق ایسته‌دیگی زامان بو روحلاری گؤندریر.
common_voice_az_35249868.mp3,Bu bölgü forması keçid dövrü iqtisadiyyatının formalaşmasında əsas rol oynayır.,بو بؤلگو فوْرماسی کئچید دؤورو اقتصادیاتی‌نین فوْرمالاشماسیندا اساس روْل اوْیناییر.
common_voice_az_35249869.mp3,Qəsəbədə Bum qəsəbə məscidi dini icması fəaliyyət göstərir.,قصبه‌ده بۇم قصبه مسجیدی دینی ایجماعسی فعّالیّت گؤستریر.
common_voice_az_35249870.mp3,Bu müddət ərzində də həmin planı tədricən yerinə yetirmişdir.,بو مۆدّت عرضینده ده همین پلانی تدریجن یئرینه یئتیرمیشدیر.
common_voice_az_35249871.mp3,Şahın ölümündən sonra Misir prezidenti şah ailəsinə yaşamaları üçün saray ayırdı.,شاهین اؤلوموندن سوْنرا میصیر پرئزیدئنتی شاه عائله‌سینه یاشامالاری اۆچون سارای آییردی.
common_voice_az_35249907.mp3,Göygöl Dövlət qoruğunun iynəyarpaqlı meşələrində rast gəlinir.,گؤیگؤل دؤولت قوْروغونون اینیارپاقلی مئشه‌لرینده راست گلینیر.
common_voice_az_35249908.mp3,Hazırda bu at növü kənd təsərrüfatı işlərində istifadə edilir.,حاضیردا بو آت نؤعو کند تصرّوفاتی ایشلرینده ایستیفاده ائدیلیر.
common_voice_az_35249910.mp3,Fotoqraf ölümünə qədər Vogue moda jurnalına şəkillər çəkmişdir.,فوْتوقراف اؤلومونه قدر ووْگوئ موْدا ژۇرنالینا شکیللر چکمیشدیر.
common_voice_az_35249912.mp3,Aşıq Ziyad ailəli idi.,آشیق زیاد عائله‌لی ایدی.
common_voice_az_35249926.mp3,İlk əvvəllər hökumətə üç nazir rəhbərlik edirdi.,ایلک اوّللر حؤکومته اۆچ ناظیر رهبرلیک ائدیردی.
common_voice_az_35249928.mp3,Görünür şahın qoşun başçıları ilə şəhər nümayəndələri əlbir fəaliyyət göstərdilər.,گؤرونور شاهین قوْشون باشچیلاری ایله شهر نۆماینده‌لری البیر فعّالیّت گؤستردیلر.
common_voice_az_35250020.mp3,Çox soyuq illərdə çiçək tumurcuqları donur.,چوخ سوْیوق ایللرده چیچک تۇمورجوقلاری دوْنور.
common_voice_az_35250021.mp3,Bu ərazi əsas yolların üzərində yerləşirdi.,بو اراضی اساس یوْللارین اۆزرینده یئرلشیردی.
common_voice_az_35250022.mp3,Onlar zülalların sintez mərkəzidir.,اوْنلار زۆلاللارین سینتئز مرکزیدیر.
common_voice_az_35250023.mp3,Bu ay iyun ayında başlayıb iyul ayında sona çatır.,بو آی ایۇن آییندا باشلاییب ایۇل آییندا سوْنا چاتیر.
common_voice_az_35250047.mp3,Bu xalçaların əksəriyyəti toxunduğu kəndin adını daşıyır.,بو خالچالارین اکثریّتی توْخوندوغو کندین آدینی داشی‌ییر.
common_voice_az_35250048.mp3,Xarici ölkələrdə bir neçə məqaləsi nəşr olunmuşdur.,خاریجی اؤلکه‌لرده بیر نئچه مقاله‌سی نشر اوْلونموشدور.
